Date : 2023-08-29 20:20:02
Directory : /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset
Total : 542 files,  9899 codes, 782 comments, 802 blanks, all 11483 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |        508 |      9,529 |        706 |        762 |     10,997 |
| C++      |         34 |        370 |         76 |         40 |        486 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/highestPrice_Machine19.c       | C        |         17 |          0 |          2 |         19 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/itemToString_Machine19.c       | C        |         15 |          0 |          1 |         16 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/listInitialization_Machine19.c | C        |          7 |          0 |          1 |          8 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/printList_Machine19.c          | C        |         15 |          0 |          2 |         17 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/removeItem_Machine19.c         | C        |         40 |          0 |          4 |         44 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/save_Machine19.c               | C        |         16 |          0 |          3 |         19 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/swapItem_Machine19.c           | C        |         33 |          0 |          4 |         37 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/updateItem_Machine19.c         | C        |         31 |          0 |          3 |         34 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/addItem_Machine2.c              | C        |         34 |          9 |          8 |         51 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/costSum_Machine2.c              | C        |         15 |          5 |          4 |         24 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/deduplicate_Machine2.c          | C        |         18 |          4 |          4 |         26 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/highestPrice_Machine2.c         | C        |         17 |          4 |          3 |         24 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/itemToString_Machine2.c         | C        |         16 |          6 |          5 |         27 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/listInitialization_Machine2.c   | C        |         14 |          5 |          4 |         23 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/printList_Machine2.c            | C        |         20 |          8 |          6 |         34 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/removeItem_Machine2.c           | C        |         30 |          7 |          7 |         44 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/save_Machine2.c                 | C        |         16 |          7 |          6 |         29 |
